time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,lat,lng
1980-01-01,-3.1,-4.4,-0.6,0.0,0.0,305.0,11.2,25.9,1017.2,0.0,44.95320129,-93.10230255
1980-01-02,-5.5,-10.6,-3.3,0.0,0.0,6.0,16.8,35.3,1024.6,318.0,44.95320129,-93.10230255
1980-01-03,-7.9,-10.6,-6.7,1.5,0.0,108.0,10.3,20.5,1028.6,0.0,44.95320129,-93.10230255
1980-01-04,-4.8,-6.7,-3.3,1.5,0.0,125.0,19.1,33.5,1021.4,114.0,44.95320129,-93.10230255
1980-01-05,-4.6,-6.1,-3.3,0.0,25.0,124.0,19.0,33.5,1021.1,78.0,44.95320129,-93.10230255
1980-01-06,-4.4,-11.7,0.0,7.9,76.0,194.0,32.5,76.0,997.1,0.0,44.95320129,-93.10230255
1980-01-07,-16.5,-20.6,-11.7,0.3,127.0,290.0,30.2,77.8,1010.9,450.0,44.95320129,-93.10230255
1980-01-08,-21.8,-24.4,-18.9,0.0,127.0,289.0,18.5,33.5,1028.8,468.0,44.95320129,-93.10230255
1980-01-09,-21.4,-26.1,-16.7,0.0,127.0,218.0,14.5,31.3,1031.9,402.0,44.95320129,-93.10230255
1980-01-10,-6.9,-17.2,6.1,0.0,127.0,141.0,24.3,48.2,1004.3,0.0,44.95320129,-93.10230255
1980-01-11,-13.1,-17.8,6.1,1.3,127.0,287.0,38.2,81.4,1007.5,186.0,44.95320129,-93.10230255
1980-01-12,-12.9,-21.7,-1.1,0.0,127.0,175.0,22.7,59.0,1022.7,0.0,44.95320129,-93.10230255
1980-01-13,1.9,-4.4,8.9,1.5,102.0,227.0,24.4,46.4,1004.4,432.0,44.95320129,-93.10230255
1980-01-14,-3.2,-8.9,2.8,0.0,51.0,88.0,16.3,42.5,1018.5,360.0,44.95320129,-93.10230255
1980-01-15,2.0,0.6,3.3,2.8,25.0,90.0,14.0,27.7,1015.6,0.0,44.95320129,-93.10230255
1980-01-16,1.4,-1.1,2.2,1.5,25.0,3.0,21.2,46.4,1013.0,0.0,44.95320129,-93.10230255
1980-01-17,-2.3,-3.3,-1.1,0.0,0.0,323.0,17.0,37.1,1016.8,0.0,44.95320129,-93.10230255
1980-01-18,-2.8,-5.0,-1.7,0.0,0.0,274.0,10.1,25.9,1024.0,228.0,44.95320129,-93.10230255
1980-01-19,-4.4,-7.8,-0.6,0.0,0.0,308.0,16.3,46.4,1033.5,510.0,44.95320129,-93.10230255
