time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,lat,lng
1980-01-01,-4.8,-12.2,2.8,0.0,0.0,,3.7,20.5,1013.5,528.0,43.427,-71.58708
1980-01-02,-3.9,-11.7,3.3,0.0,0.0,,9.6,44.3,1012.2,342.0,43.427,-71.58708
1980-01-03,-6.2,-11.1,-3.3,0.0,0.0,318.0,18.5,50.0,1018.5,546.0,43.427,-71.58708
1980-01-04,,-12.8,-1.7,0.0,0.0,,,33.5,,528.0,43.427,-71.58708
1980-01-05,-8.3,-15.6,-2.8,0.0,0.0,,8.0,33.5,1016.2,264.0,43.427,-71.58708
1980-01-06,-11.7,-18.3,-3.3,0.0,0.0,,6.0,20.5,1021.6,546.0,43.427,-71.58708
1980-01-07,-3.9,-17.8,3.9,0.0,0.0,,14.2,50.0,1013.6,0.0,43.427,-71.58708
1980-01-08,,-9.4,1.7,0.0,0.0,,17.6,42.5,1016.6,504.0,43.427,-71.58708
1980-01-09,,-15.0,-1.7,0.0,0.0,,,27.7,,48.0,43.427,-71.58708
1980-01-10,-9.5,-18.3,-2.8,0.0,0.0,,4.8,25.9,1034.9,552.0,43.427,-71.58708
1980-01-11,,-10.6,14.4,3.6,0.0,,,70.2,,0.0,43.427,-71.58708
1980-01-12,,-5.6,15.0,3.0,0.0,,,79.6,,432.0,43.427,-71.58708
1980-01-13,-5.5,-11.7,-1.7,0.0,0.0,,9.9,25.9,1033.0,210.0,43.427,-71.58708
1980-01-14,,-6.1,1.7,0.0,0.0,,,18.4,,0.0,43.427,-71.58708
1980-01-15,,0.0,8.9,0.0,0.0,,,38.9,,0.0,43.427,-71.58708
1980-01-16,0.2,-3.9,5.6,0.0,0.0,,15.1,,1028.2,558.0,43.427,-71.58708
1980-01-17,-1.7,-3.9,-0.6,0.0,0.0,16.0,11.2,,1028.9,0.0,43.427,-71.58708
1980-01-18,0.5,-1.1,3.9,0.0,0.0,,3.1,11.2,1021.0,36.0,43.427,-71.58708
