time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,lat,lng
2006-01-02,1.1,-2.2,5.6,,,,12.5,,,,41.7370229,-99.5873816
2006-01-03,4.1,-1.7,15.0,0.0,,,14.9,,1007.6,,41.7370229,-99.5873816
2006-01-04,4.8,0.6,10.6,0.0,,313.0,22.2,,1020.7,,41.7370229,-99.5873816
2006-01-05,2.6,-5.0,7.8,0.0,,,26.2,,1028.1,,41.7370229,-99.5873816
2006-01-06,2.6,-6.7,16.7,0.0,,,8.8,,1020.3,,41.7370229,-99.5873816
2006-01-07,5.8,-1.1,17.8,0.0,,,3.2,,1005.3,,41.7370229,-99.5873816
2006-01-08,3.5,-2.2,8.3,0.0,,327.0,32.0,,1005.5,,41.7370229,-99.5873816
2006-01-09,-1.3,-4.4,2.8,0.0,,,16.6,,1027.2,,41.7370229,-99.5873816
2006-01-10,-0.2,-7.8,10.6,0.0,,,8.0,,1017.7,,41.7370229,-99.5873816
2006-01-11,7.9,0.6,18.9,0.0,,,15.3,,1005.0,,41.7370229,-99.5873816
2006-01-12,5.1,0.0,8.9,,,333.0,23.7,,1006.8,,41.7370229,-99.5873816
2006-01-13,0.6,-6.1,8.9,0.0,,,16.4,,1020.9,,41.7370229,-99.5873816
2006-01-14,,,,0.0,,,7.6,,1012.8,,41.7370229,-99.5873816
2006-01-15,8.1,-3.3,20.6,0.0,,,14.3,,999.0,,41.7370229,-99.5873816
2006-01-16,2.4,-1.7,8.3,0.0,,339.0,39.8,,,,41.7370229,-99.5873816
2006-01-17,-1.8,-6.7,5.6,0.0,,,18.1,,1013.3,,41.7370229,-99.5873816
2006-01-18,5.6,-6.7,16.1,,,,10.6,,1005.2,,41.7370229,-99.5873816
2006-01-19,4.0,-0.6,10.0,0.0,,,19.4,,1008.6,,41.7370229,-99.5873816
2006-01-20,-1.6,-8.3,6.1,0.0,,,3.3,,1019.1,,41.7370229,-99.5873816
2006-01-21,-1.5,-10.0,10.6,0.0,,,9.5,,1021.8,,41.7370229,-99.5873816
2006-01-22,-4.2,-11.1,2.8,0.0,,,9.2,,1027.8,,41.7370229,-99.5873816
