time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,lat,lng
1980-01-01,-8.9,-14.4,-1.7,0.0,0.0,,5.4,25.9,1020.0,102.0,46.6201461,-100.540737
1980-01-02,-12.6,-18.9,-7.8,0.0,0.0,,9.4,29.5,1031.5,312.0,46.6201461,-100.540737
1980-01-03,-12.8,-19.4,-6.7,1.3,0.0,,16.2,42.5,1023.5,144.0,46.6201461,-100.540737
1980-01-04,-7.5,-12.8,-4.4,1.8,51.0,,18.2,46.4,1017.9,90.0,46.6201461,-100.540737
1980-01-05,-9.5,-13.9,-6.1,1.5,76.0,,12.0,33.5,1016.8,0.0,46.6201461,-100.540737
1980-01-06,-13.6,-20.0,-5.0,6.9,178.0,340.0,44.8,90.7,1009.8,0.0,46.6201461,-100.540737
1980-01-07,-22.1,-24.4,-20.0,0.0,229.0,292.0,24.7,55.4,1022.2,396.0,46.6201461,-100.540737
1980-01-08,-26.7,-28.3,-24.4,0.0,178.0,297.0,23.6,48.2,1032.2,420.0,46.6201461,-100.540737
1980-01-09,-24.9,-33.3,-19.4,0.0,127.0,,10.2,29.5,1025.9,306.0,46.6201461,-100.540737
1980-01-10,-14.2,-20.6,-6.7,3.8,127.0,57.0,27.2,77.8,996.9,0.0,46.6201461,-100.540737
1980-01-11,-21.5,-25.0,-18.3,0.0,178.0,,36.8,83.2,1020.1,438.0,46.6201461,-100.540737
1980-01-12,-13.1,-23.3,0.0,0.0,127.0,119.0,15.8,38.9,1007.0,246.0,46.6201461,-100.540737
1980-01-13,-2.6,-11.1,6.1,0.0,102.0,,17.5,61.2,1004.3,468.0,46.6201461,-100.540737
1980-01-14,-6.6,-11.1,-0.6,0.0,102.0,,9.9,25.9,1011.3,144.0,46.6201461,-100.540737
1980-01-15,-8.4,-16.1,2.2,0.0,76.0,,2.9,14.8,1018.1,438.0,46.6201461,-100.540737
1980-01-16,-8.5,-17.8,-3.3,0.0,51.0,,2.7,13.0,1022.6,120.0,46.6201461,-100.540737
1980-01-17,-8.1,-15.0,0.6,0.0,51.0,,8.9,18.4,1018.4,468.0,46.6201461,-100.540737
1980-01-18,-6.3,-15.0,-3.3,0.0,25.0,,19.4,50.0,1027.4,0.0,46.6201461,-100.540737
1980-01-19,-9.4,-18.3,-1.7,0.0,25.0,,13.2,31.3,1039.3,498.0,46.6201461,-100.540737
1980-01-20,-7.7,-15.6,1.1,0.0,25.0,,8.6,27.7,1029.8,492.0,46.6201461,-100.540737
1980-01-21,-2.8,-8.9,1.1,0.3,25.0,,29.9,76.0,1014.9,0.0,46.6201461,-100.540737
1980-01-22,-7.1,-12.2,-3.3,0.0,25.0,,22.2,61.2,1021.2,390.0,46.6201461,-100.540737
1980-01-23,-4.9,-14.4,5.0,0.0,25.0,,16.3,57.2,1009.0,0.0,46.6201461,-100.540737
1980-01-24,2.5,-10.6,5.0,2.0,25.0,305.0,34.7,59.0,999.6,228.0,46.6201461,-100.540737
1980-01-25,-16.8,-20.6,-10.6,0.3,25.0,350.0,20.3,46.4,1024.5,402.0,46.6201461,-100.540737
1980-01-26,-20.1,-22.8,-17.2,0.0,25.0,292.0,15.5,40.7,1032.6,450.0,46.6201461,-100.540737
1980-01-27,-20.5,-25.0,-16.7,0.0,25.0,,12.2,33.5,1029.7,504.0,46.6201461,-100.540737
1980-01-28,-21.9,-26.7,-18.3,0.0,25.0,,14.8,38.9,1032.4,516.0,46.6201461,-100.540737
1980-01-29,-24.0,-30.6,-17.2,0.0,25.0,,5.0,22.3,1034.4,486.0,46.6201461,-100.540737
1980-01-30,-18.7,-22.2,-12.2,0.0,25.0,,7.0,13.0,1036.1,474.0,46.6201461,-100.540737
