time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,lat,lng
2011-04-28,11.6,7.0,17.0,,,,19.7,,,,39.7393,-89.26651
2011-04-29,,,,,,,,,,,39.7393,-89.26651
2011-04-30,17.5,13.0,24.0,,,151.0,29.1,,,,39.7393,-89.26651
2011-05-01,13.5,7.0,18.0,,,,15.7,,,,39.7393,-89.26651
2011-05-02,10.5,8.0,13.0,,,,7.8,,,,39.7393,-89.26651
2011-05-03,9.4,5.0,14.0,,,,15.1,,,,39.7393,-89.26651
2011-05-04,9.0,3.0,15.0,,,,9.0,,,,39.7393,-89.26651
2011-05-05,11.8,5.0,20.0,,,,15.6,,,,39.7393,-89.26651
2011-05-06,14.4,8.0,21.0,,,,,,,,39.7393,-89.26651
2011-05-07,18.8,13.0,26.0,,,189.0,19.2,,,,39.7393,-89.26651
2011-05-08,17.5,12.0,25.0,,,,13.4,,,,39.7393,-89.26651
2011-05-09,21.8,16.0,28.0,,,135.0,23.2,,,,39.7393,-89.26651
2011-05-10,,,,,,,,,,,39.7393,-89.26651
2011-05-11,24.7,18.0,33.0,,,,12.2,,,,39.7393,-89.26651
2011-05-12,24.7,20.0,31.0,,,,12.5,,,,39.7393,-89.26651
2011-05-13,21.5,17.0,28.0,,,,11.5,,,,39.7393,-89.26651
2011-05-14,12.3,11.0,16.0,,,328.0,22.2,,,,39.7393,-89.26651
2011-05-15,9.4,6.0,12.0,,,345.0,25.5,,,,39.7393,-89.26651
2011-05-16,10.6,4.0,17.0,,,6.0,21.0,,,,39.7393,-89.26651
2011-05-17,10.8,3.0,17.0,,,,14.2,,,,39.7393,-89.26651
2011-05-18,14.7,9.0,20.0,,,,8.0,,,,39.7393,-89.26651
2011-05-19,16.8,11.0,24.0,,,,7.0,,,,39.7393,-89.26651
2011-05-20,22.1,17.0,28.0,,,136.0,15.8,,,,39.7393,-89.26651
2011-05-21,23.5,19.0,29.0,,,173.0,14.6,,,,39.7393,-89.26651
2011-05-22,23.6,18.0,31.0,,,,26.2,,,,39.7393,-89.26651
