,Solar Cycle,startYear,startMonth,maxYear,maxMonth
0,Solar cycle 1,1755,2,1761.0,6.0
1,Solar cycle 2,1766,6,1769.0,9.0
2,Solar cycle 3,1775,6,1778.0,5.0
3,Solar cycle 4,1784,9,1788.0,2.0
4,Solar cycle 5,1798,4,1805.0,2.0
5,Solar cycle 6,1810,8,1816.0,5.0
6,Solar cycle 7,1823,5,1829.0,11.0
7,Solar cycle 8,1833,11,1837.0,3.0
8,Solar cycle 9,1843,7,1848.0,2.0
9,Solar cycle 10,1855,12,1860.0,2.0
10,Solar cycle 11,1867,3,1870.0,8.0
11,Solar cycle 12,1878,12,1883.0,12.0
12,Solar cycle 13,1890,3,1894.0,1.0
13,Solar cycle 14,1902,1,1906.0,2.0
14,Solar cycle 15,1913,7,1917.0,8.0
15,Solar cycle 16,1923,8,1928.0,4.0
16,Solar cycle 17,1933,9,1937.0,4.0
17,Solar cycle 18,1944,2,1947.0,5.0
18,Solar cycle 19,1954,4,1958.0,3.0
19,Solar cycle 20,1964,10,1968.0,11.0
20,Solar cycle 21,1976,3,1979.0,12.0
21,Solar cycle 22,1986,9,1989.0,11.0
22,Solar cycle 23,1996,8,2001.0,11.0
23,Solar cycle 24,2008,12,2014.0,4.0
24,Solar cycle 25,2019,12,,
