Year,AvgClose,Open ,High,Low,Close,PercentChange
2022,9.91,7.58,12.94,7.42,9.27,0.2029
2021,7.04,6.42,8.56,6.02,7.71,0.2034
2020,5.50,5.60,6.41,4.75,6.41,0.1463
2019,4.94,5.07,5.59,4.25,5.59,0.1103
2018,4.98,4.34,5.75,4.17,5.03,0.1786
2017,4.40,4.07,5.60,4.02,4.27,0.0466
2016,4.39,4.58,5.20,3.81,4.08,-0.1319
2015,5.08,5.82,6.16,4.65,4.70,-0.2027
2014,5.89,5.97,7.39,4.74,5.90,-0.026
2013,6.86,7.55,7.91,6.01,6.05,-0.222
2012,7.54,6.57,9.43,5.92,7.78,0.1919
2011,7.14,8.06,8.86,5.77,6.53,-0.1782
2010,5.87,5.58,7.99,4.28,7.94,0.4668
2009,5.34,6.11,6.75,4.41,5.42,-0.1134
2008,7.99,9.15,12.83,4.76,6.11,-0.3099
2007,6.41,5.01,9.80,4.19,8.85,0.7665
2006,4.06,3.46,5.43,3.23,5.01,0.4768
2005,3.22,3.02,3.68,2.88,3.39,0.1033
2004,3.48,4.06,4.23,2.95,3.08,-0.1844
2003,3.36,3.29,4.15,2.79,3.77,0.16
2002,3.25,2.92,4.22,2.61,3.25,0.1246
2001,2.74,2.76,2.96,2.46,2.89,0.034
2000,2.61,2.48,2.84,2.34,2.80,0.1247
1999,2.62,2.79,2.94,2.38,2.49,-0.1005
1998,2.94,3.31,3.48,2.47,2.76,-0.152
1997,3.68,3.89,4.42,3.22,3.26,-0.1456
1996,4.75,5.09,6.83,3.69,3.81,-0.2557
1995,4.22,3.96,5.12,3.42,5.12,0.2758
1994,3.59,3.73,4.16,3.14,4.02,0.0615
1993,3.30,3.61,3.93,2.78,3.78,0.0693
1992,3.65,4.01,4.60,3.06,3.54,-0.126
1991,3.05,2.64,4.06,2.46,4.05,0.5537
1990,3.19,4.09,4.10,2.44,2.61,-0.3635
1989,4.10,4.39,4.49,3.82,4.09,-0.0699
1988,3.70,3.14,4.41,2.98,4.40,0.4159
1987,2.85,2.73,3.21,2.57,3.11,0.1321
1986,2.81,3.40,3.40,2.41,2.75,-0.2003
1985,3.26,3.46,3.71,2.75,3.43,-0.0129
1984,3.51,3.54,3.77,3.22,3.48,-0.0433
1983,3.57,3.24,4.08,3.18,3.64,0.099
1982,3.51,3.91,4.02,3.02,3.31,-0.1552
1981,4.28,5.09,5.09,3.76,3.92,-0.2186
1980,4.57,4.46,5.42,3.81,5.01,0.1029
1979,4.02,3.41,4.84,3.32,4.54,0.3234
1978,3.18,2.75,3.75,2.58,3.43,0.2292
1977,2.58,2.75,2.88,2.15,2.79,0.0063
1976,3.33,3.38,4.00,2.56,2.78,-0.1735
1975,3.70,4.58,4.58,2.96,3.36,-0.2677
1974,4.71,5.55,6.34,3.36,4.59,-0.1587
1973,3.49,2.59,5.45,2.15,5.45,1.0644
1972,1.80,1.62,2.70,1.40,2.64,0.6183
1971,1.58,1.68,1.73,1.42,1.63,-0.0319
1970,1.53,1.45,1.79,1.35,1.69,0.1433
1969,1.33,1.35,1.48,1.21,1.47,0.0877
1968,1.35,1.46,1.55,1.17,1.36,-0.0826
1967,1.60,1.74,1.87,1.43,1.48,-0.1589
1966,1.74,1.70,1.99,1.57,1.76,0.0421
1965,1.52,1.50,1.73,1.38,1.69,0.1256
1964,1.68,2.19,2.24,1.40,1.50,-0.3177
1963,2.00,2.11,2.20,1.77,2.19,0.0393
1962,2.09,2.06,2.17,1.99,2.11,0.0188
1961,2.01,2.08,2.15,1.85,2.07,-0.0062
1960,1.96,2.05,2.09,1.82,2.09,0.0211
