Date,Year,Month,Observed Flux,Adjusted Flux,Absolute Flux
2004-10-01,2004,10,137.56,135.6,122.04
2004-11-01,2004,11,115.98,113.46,102.12
2004-12-01,2004,12,95.66,92.69,83.42
2005-01-01,2005,1,102.86,99.59,89.63
2005-02-01,2005,2,97.3,94.95,85.45
2005-03-01,2005,3,90.04,89.14,80.22
2005-04-01,2005,4,85.92,86.55,77.9
2005-05-01,2005,5,101.65,103.9,93.5
2005-06-01,2005,6,94.09,97.06,87.36
2005-07-01,2005,7,100.64,103.93,93.54
2005-08-01,2005,8,98.24,100.66,90.6
2005-09-01,2005,9,109.55,110.77,99.69
2005-10-01,2005,10,76.71,76.21,68.6
2005-11-01,2005,11,86.38,84.47,76.02
2005-12-01,2005,12,90.85,88.01,79.21
2006-01-01,2006,1,83.32,80.67,72.6
2006-02-01,2006,2,76.52,74.67,67.2
2006-03-01,2006,3,75.5,74.75,67.28
2006-04-01,2006,4,89.27,89.9,80.91
2006-05-01,2006,5,80.83,82.62,74.36
2006-06-01,2006,6,76.68,79.1,71.18
2006-07-01,2006,7,75.88,78.36,70.53
2006-08-01,2006,8,79.59,81.58,73.43
2006-09-01,2006,9,78.02,78.87,70.99
2006-10-01,2006,10,74.43,73.95,66.55
2006-11-01,2006,11,86.43,84.56,76.1
2006-12-01,2006,12,90.39,87.58,78.83
2007-01-01,2007,1,83.76,81.09,72.98
2007-02-01,2007,2,77.65,75.76,68.18
2007-03-01,2007,3,72.24,71.5,64.36
2007-04-01,2007,4,72.36,72.87,65.59
2007-05-01,2007,5,74.36,75.98,68.38
2007-06-01,2007,6,74.07,76.39,68.76
2007-07-01,2007,7,71.48,73.83,66.44
2007-08-01,2007,8,69.03,70.76,63.68
2007-09-01,2007,9,66.98,67.71,60.94
2007-10-01,2007,10,67.69,67.27,60.54
2007-11-01,2007,11,69.39,67.88,61.09
2007-12-01,2007,12,78.21,75.77,68.2
2008-01-01,2008,1,74.02,71.66,64.49
2008-02-01,2008,2,71.03,69.33,62.39
2008-03-01,2008,3,72.99,72.3,65.07
2008-04-01,2008,4,70.15,70.65,63.59
2008-05-01,2008,5,68.32,69.86,62.87
2008-06-01,2008,6,65.85,67.94,61.14
2008-07-01,2008,7,65.67,67.82,61.03
2008-08-01,2008,8,66.17,67.81,61.03
2008-09-01,2008,9,67.0,67.7,60.93
2008-10-01,2008,10,68.21,67.75,60.98
2008-11-01,2008,11,68.53,67.02,60.32
2008-12-01,2008,12,69.05,66.89,60.2
2009-01-01,2009,1,69.7,67.48,60.73
2009-02-01,2009,2,69.85,68.17,61.35
2009-03-01,2009,3,69.1,68.42,61.57
2009-04-01,2009,4,69.61,70.11,63.1
2009-05-01,2009,5,70.35,71.91,64.73
2009-06-01,2009,6,68.57,70.74,63.66
2009-07-01,2009,7,68.19,70.41,63.38
2009-08-01,2009,8,67.36,69.04,62.13
2009-09-01,2009,9,70.32,71.05,63.95
2009-10-01,2009,10,72.14,71.66,64.5
2009-11-01,2009,11,73.66,72.05,64.85
2009-12-01,2009,12,76.84,74.44,67.0
2010-01-01,2010,1,81.31,78.71,70.84
