,Generation at Utility Scale Facilities,,,,,,,,,,,,Small Scale Generation,Net Generation From Utility and Small Scale Facilities,
Period,Coal,"Petroleum
Liquids","Petroleum
Coke","Natural
Gas","Other
Gas",Nuclear,"Hydroelectric
Conventional",Solar,"Renewable
Sources
Excluding
Hydroelectric and Solar","Hydroelectric
Pumped
Storage",Other,Total Generation at Utility Scale Facilities,Estimated Solar Photovoltaic,Estimated Total Solar Photovoltaic,Estimated Total Solar
Annual Totals,,,,,,,,,,,,,,,
2012,"1,514,043","13,403","9,787","1,225,894","11,898","769,331","276,240","4,327","214,006","-4,950","13,787","4,047,765",N/A,N/A,N/A
2013,"1,581,115","13,820","13,344","1,124,836","12,853","789,016","268,565","9,036","244,472","-4,681","13,588","4,065,964",N/A,N/A,N/A
2014,"1,581,710","18,276","11,955","1,126,609","12,022","797,166","259,367","17,691","261,522","-6,174","13,393","4,093,538","11,233","26,482","28,924"
2015,"1,352,398","17,372","10,877","1,333,482","13,117","797,178","249,080","24,893","270,268","-5,091","13,955","4,077,528","14,139","35,805","39,032"
2016,"1,239,149","13,008","11,197","1,378,307","12,807","805,694","267,812","36,054","305,579","-6,686","13,689","4,076,610","18,812","51,483","54,866"
2017,"1,205,835","12,414","8,976","1,296,442","12,469","804,950","300,333","53,287","332,963","-6,495","13,008","4,034,183","23,990","74,008","77,277"
2018,"1,149,487","16,245","8,981","1,469,133","13,463","807,084","292,524","63,825","350,467","-5,905","12,973","4,178,277","29,539","89,773","93,365"
2019,"964,957","11,522","6,819","1,585,814","12,591","809,409","287,874","71,937","368,862","-5,261","13,331","4,127,855","34,957","103,676","106,894"
2020,"773,393","9,662","7,679","1,624,167","11,818","789,879","285,274","89,199","408,531","-5,321","12,855","4,007,135","41,522","127,588","130,721"
2021,"898,679","11,315","7,467","1,575,230","11,283","778,152","260,225","114,678","451,484","-5,112","12,140","4,115,540","49,025","160,779","163,703"
Year 2020,,,,,,,,,,,,,,,
January,"65,140",915,633,"135,916","1,155","74,170","24,498","4,459","34,248",-377,"1,093","341,850","2,313","6,665","6,771"
February,"56,201",749,540,"127,871","1,152","65,911","25,868","5,561","34,972",-247,971,"319,550","2,623","8,006","8,184"
March,"50,731",691,704,"125,905","1,047","63,997","23,823","6,350","35,601",-353,"1,092","309,587","3,424","9,581","9,774"
April,"40,675",626,614,"110,301",802,"59,170","23,194","7,921","35,533",-325,"1,073","279,583","3,816","11,431","11,736"
May,"46,527",691,610,"116,943",884,"64,338","29,976","9,653","34,247",-367,"1,090","304,593","4,267","13,508","13,921"
June,"65,283",818,801,"142,833",867,"67,205","27,999","9,654","35,766",-499,"1,018","351,745","4,269","13,553","13,923"
July,"89,709",914,837,"181,260",937,"69,385","26,742","10,610","28,760",-686,"1,093","409,562","4,405","14,586","15,015"
August,"91,145",887,787,"173,390","1,094","68,982","23,284","9,315","29,072",-784,"1,107","398,280","4,199","13,158","13,514"
Sept,"68,407",755,439,"141,164","1,013","65,727","18,679","7,732","28,851",-525,"1,016","333,258","3,722","11,185","11,454"
October,"59,805",876,351,"131,242",918,"59,362","18,810","7,085","34,438",-423,"1,067","313,531","3,310","10,137","10,395"
November,"61,182",800,612,"109,658",950,"61,760","20,893","5,767","38,932",-369,"1,067","301,250","2,687","8,290","8,453"
December,"78,588",940,751,"127,685",999,"69,871","21,508","5,091","38,112",-368,"1,169","344,346","2,489","7,489","7,580"
Year 2021,,,,,,,,,,,,,,,
January,"81,483",888,714,"125,960","1,077","71,732","25,814","5,726","36,721",-424,"1,105","350,796","2,743","8,388","8,468"
February,"87,849","1,728",679,"111,111",846,"62,954","21,624","6,413","32,525",-425,920,"326,223","2,927","9,206","9,340"
March,"62,037",757,679,"106,565",854,"63,708","21,574","9,272","46,015",-236,"1,061","312,285","4,089","13,102","13,361"
April,"53,989",753,392,"106,920",855,"57,092","19,201","10,830","41,708",-197,961,"292,504","4,593","15,089","15,423"
May,"63,900",802,510,"114,131",886,"63,394","22,795","12,292","39,566",-416,998,"318,859","5,044","16,943","17,336"
June,"87,356",866,441,"148,843",932,"66,070","24,075","11,841","32,704",-376,"1,002","373,754","5,111","16,631","16,952"
July,"101,600",823,688,"169,663","1,010","68,832","22,113","11,915","27,743",-685,"1,047","404,749","5,208","16,866","17,123"
August,"101,923","1,168",748,"172,859","1,028","69,471","20,954","11,813","33,024",-670,"1,035","413,353","4,944","16,416","16,757"
Sept,"78,891",907,639,"138,062",982,"64,484","17,966","11,106","34,619",-434,979,"348,201","4,394","15,199","15,501"
October,"62,614",865,633,"131,490","1,048","56,945","17,999","9,243","38,250",-427,979,"319,638","3,854","12,874","13,096"
November,"57,160",845,778,"122,458",877,"62,749","20,460","7,874","41,694",-377,978,"315,495","3,264","10,949","11,137"
December,"59,878",912,564,"127,169",889,"70,720","25,650","6,355","46,916",-445,"1,076","339,684","2,853","9,117","9,208"
Year 2022,,,,,,,,,,,,,,,
January,"87,506","3,254",531,"136,317",971,"70,577","27,017","8,004","44,266",-493,"1,017","378,967","3,301","11,172","11,305"
February,"70,762","1,000",605,"115,615",832,"61,862","23,670","9,203","43,740",-412,891,"327,767","3,646","12,690","12,848"
March,"60,768",949,473,"112,003",894,"63,154","26,139","11,891","49,027",-318,972,"325,952","5,025","16,660","16,916"
Year to Date,,,,,,,,,,,,,,,
2020,"172,072","2,355","1,878","389,692","3,355","204,077","74,189","16,370","104,820",-977,"3,156","970,987","8,359","24,252","24,729"
2021,"231,368","3,373","2,073","343,636","2,777","198,395","69,011","21,410","115,260","-1,085","3,086","989,304","9,759","30,696","31,169"
2022,"219,035","5,203","1,609","363,935","2,698","195,592","76,826","29,097","137,033","-1,223","2,880","1,032,686","11,972","40,522","41,069"
Rolling 12 Months Ending in March,,,,,,,,,,,,,,,
2021,"832,689","10,680","7,875","1,578,110","11,241","784,196","280,096","94,239","418,971","-5,430","12,785","4,025,452","42,922","134,032","137,161"
2022,"886,346","13,144","7,004","1,595,529","11,204","775,349","268,040","122,365","473,257","-5,250","11,934","4,158,922","51,237","170,605","173,603"
"Coal includes anthracite, bituminous, subbituminous, lignite, and waste coal; synthetic coal and refined coal; and beginning in 2011, coal-derived synthesis gas. Prior to 2011 coal-derived synthesis gas was included in Other Gases.
Petroleum Liquids includes distillate and residual fuel oils, jet fuel, kerosene, waste oil, and beginning in 2011, propane. Prior to 2011 propane was included in Other Gases.
Petroleum Coke includes petroleum coke-derived synthesis gas. Prior to 2011, petroleum coke-derived synthesis gas was included in Other Gases.
Other Gas includes blast furnace gas and other manufactured and waste gases derived from fossil fuels. Prior to 2011, Other Gas included propane and synthesis gases.
See the Technical Notes for fuel conversion factors.
Renewable Sources include wood, black liquor, other wood waste, biogenic municipal solid waste, landfill gas, sludge waste, agriculture byproducts, other biomass, geothermal, solar thermal, photovoltaic energy, and wind.
Other includes non-biogenic municipal solid waste, batteries, hydrogen, purchased steam, sulfur, tire-derived fuel, and other miscellaneous energy sources.
Notes: Beginning with 2001 data, non-biogenic municipal solid waste and tire-derived fuels are reclassified as non-renewable energy sources and included in Other. Biogenic municipal solid waste is included in Other Renewable Sources.
See Glossary for definitions. Values for 2020 and prior years are final. Values for 2021 and 2022 are preliminary. See Technical Notes for a discussion of the sample design for the Form EIA-923 and predecessor forms.
Totals may not equal sum of components because of independent rounding. NM=Not meaningful due to large standard error. W=Withheld to avoid disclosure of individual company data.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-906, Power Plant Report; U.S. Energy Information Administration, Form EIA-920 Combined Heat and Power Plant Report; and predecessor forms.
Beginning with 2008 data, the Form EIA-923, Power Plant Operations Report, replaced the following: Form EIA-906, Power Plant Report; Form EIA-920, Combined Heat and Power Plant Report;
   Form EIA-423, Monthly Cost and Quality of Fuels for Electric Plants Report; and Federal Energy Regulatory Commission, FERC Form 423, Monthly Report of Cost and Quality of Fuels for Electric Plants.
Estimated small scale solar photovoltaic generation and small scale solar photovoltaic capacity are based on data from Form EIA-861M, Form EIA-861 and from estimation methods described in the technical notes.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
