Year,AvgClosingPrice,Open,High,Low,Close,PercentChange
2022,$6.07 ,3.74,9.44,3.73,6.66,0.7435
2021,$3.89 ,2.60,23.86,2.43,3.82,0.6186
2020,$2.03 ,2.05,3.14,1.33,2.36,0.1292
2019,$2.56 ,3.25,4.25,1.75,2.09,-0.3569
2018,$3.15 ,6.24,6.24,2.49,3.25,-0.1192
2017,$2.99 ,3.71,3.71,2.44,3.69,-0.0054
2016,$2.52 ,2.28,3.80,1.49,3.71,0.6272
2015,$2.62 ,3.01,3.32,1.63,2.28,-0.2739
2014,$4.37 ,4.32,8.15,2.74,3.14,-0.2715
2013,$3.73 ,3.30,4.52,3.08,4.31,0.2566
2012,$2.75 ,2.97,3.77,1.82,3.43,0.151
2011,$4.00 ,4.54,4.92,2.84,2.98,-0.2938
2010,$4.37 ,6.09,7.51,3.18,4.22,-0.2749
2009,$3.94 ,5.41,6.10,1.83,5.82,0.0337
2008,$8.86 ,7.83,13.31,5.37,5.63,-0.2082
2007,$6.97 ,5.40,9.14,5.30,7.11,0.2927
2006,$6.73 ,9.90,9.90,3.66,5.50,-0.4223
2005,$8.69 ,5.53,15.39,5.53,9.52,0.5814
2004,$5.89 ,6.28,8.12,4.32,6.02,0.0451
2003,$5.47 ,4.93,18.48,3.98,5.76,0.2549
2002,$3.38 ,2.55,5.31,2.03,4.59,0.9125
2001,$3.96 ,9.97,10.31,1.69,2.40,-0.771
2000,$4.31 ,2.16,10.49,2.16,10.48,3.5565
1999,$2.27 ,2.10,3.10,1.63,2.30,0.1795
1998,$2.09 ,2.16,2.65,1.05,1.95,-0.141
