Table 5.1. Sales of Electricity to Ultimate Customers:,,,,,
"Total by End-Use Sector, 2012 - March 2022 (Thousand Megawatthours)",,,,,
Period,Residential,Commercial,Industrial,Transportation,All Sectors
Annual Totals,,,,,
2012,"1,374,515","1,327,101","985,714","7,320","3,694,650"
2013,"1,394,812","1,337,079","985,352","7,625","3,724,868"
2014,"1,407,208","1,352,158","997,576","7,758","3,764,700"
2015,"1,404,096","1,360,752","986,508","7,637","3,758,992"
2016,"1,411,058","1,367,191","976,715","7,497","3,762,462"
2017,"1,378,648","1,352,888","984,298","7,523","3,723,356"
2018,"1,469,093","1,381,755","1,000,673","7,665","3,859,185"
2019,"1,440,289","1,360,877","1,002,353","7,632","3,811,150"
2020,"1,464,605","1,287,440","959,082","6,548","3,717,674"
2021,"1,476,569","1,324,782","986,797","6,392","3,794,539"
Year 2020,,,,,
January,"124,442","109,812","80,609",670,"315,533"
February,"112,123","103,015","78,903",619,"294,659"
March,"104,255","104,110","80,931",598,"289,894"
April,"97,759","91,406","72,791",444,"262,401"
May,"105,681","94,299","74,273",454,"274,707"
June,"131,538","109,593","78,445",480,"320,056"
July,"167,108","127,107","84,758",556,"379,530"
August,"158,939","123,057","86,366",522,"368,885"
Sept,"127,824","113,220","80,977",534,"322,555"
October,"105,514","108,468","82,371",523,"296,877"
November,"99,661","97,897","79,167",525,"277,249"
December,"129,761","105,456","79,492",622,"315,330"
Year 2021,,,,,
January,"137,127","104,135","79,104",569,"320,936"
February,"126,970","98,028","73,138",552,"298,688"
March,"114,426","102,112","76,293",546,"293,378"
April,"94,177","98,200","78,736",510,"271,623"
May,"101,498","104,403","82,651",489,"289,041"
June,"132,834","118,879","85,301",519,"337,532"
July,"155,325","127,404","89,391",559,"372,679"
August,"158,651","130,998","90,176",573,"380,399"
Sept,"131,864","118,793","84,825",531,"336,013"
October,"104,581","112,161","84,036",532,"301,310"
November,"101,030","103,311","81,528",491,"286,360"
December,"118,085","106,357","81,618",521,"306,581"
Year 2022,,,,,
January,"140,594","112,248","83,286",564,"336,692"
February,"126,230","101,561","75,917",564,"304,272"
March,"112,303","107,706","82,902",579,"303,490"
Year to Date,,,,,
2020,"340,820","316,937","240,442","1,887","900,086"
2021,"378,524","304,276","228,535","1,667","913,002"
2022,"379,127","321,515","242,105","1,708","944,454"
Rolling 12 Months Ending in March,,,,,
2021,"1,502,309","1,274,778","947,175","6,328","3,730,591"
2022,"1,477,172","1,342,021","1,000,367","6,432","3,825,991"
"See Technical notes for additional information on the Commercial, Industrial, and Transportation sectors. NA = Not available. See Glossary for definitions.
Geographic coverage is the 50 States and the District of Columbia. Values include energy service provider (power marketer) data.
Values for 2020 and prior years are final. Values for 2022 and 2021 are preliminary estimates based on a cutoff model sample. See Technical Notes for a discussion of the sample design for the Form EIA-826. Utilities and energy service providers may classify commercial and industrial customers based on either NAICS codes or demands or usage falling within specified limits by rate schedule. Changes from year to year in consumer counts, sales and revenues, particularly involving the commercial and industrial consumer sectors, may result from respondent implementation of changes in the definitions of consumers, and reclassifications. Sales and net generation may not correspond exactly for a particular month for a variety of reasons (i.e., sales data may include purchases of electricity from nonutilities or imported electricity). Net generation is for the calendar month while sales and associated revenue accumulate from bills collected for periods of time (28 to 35 days) that vary dependent upon customer class and consumption occurring in and outside the calendar month.
Sources: U.S. Energy Information Administration, Form EIA-861M (formerly EIA-826), Monthly Electric Industry Power Report.
Form EIA-826, Monthly Electric Sales and Revenue Report with State Distributions Report; 
Form EIA-861, Annual Electric Power Industry Report; and Form EIA-861S, Annual Electric Power Industry Report (Short Form).",,,,,
